,Message,Retweet Count,Created At,Username,Geo,Coord,Metadata
65,"#Repost @losvideos80s 
・・・
¿En qué andan @LosVideos80s? El martes 10/9 sintonicen!!!! Gracias luzcamararock &amp; arteinfernalproducciones .
.
#losvideos #luzcamararock #arteinfernal #rock #punk #hardrock #punkrock #rnr… https://t.co/EOHHGKWTC2",0,2019-09-05 16:16:06,MAXXX NOT DEAD,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
66,"🎶 Si los cerdos se juntan a la mesa y se untan 
Mejor niña invítame a volar
Mejor invítame a nadar
Invítame al mar... 🎶
Ola De Calor 
#music #garage #rock #song #oladecalor #art #goldenplanes https://t.co/g7y4TMs3sH",2,2019-09-05 16:15:36,Aviones Dorados,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
67,"@LucasFerrero83 nos dio cátedra sobre #Vonnegut. 
Tal fue así que lo dejamos en #Spotify para la posteridad!

#podcast #radio #Libros #Literatura #rock #arte

https://t.co/D4S3gp0Vcn",0,2019-09-05 16:14:52,💚El Sonido y La Furia✊,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
68,Vendo guitarra eléctrica #Yamaha Pac112j con amplificador #Laney Lg20r. Incluye funda y atril. $150.000 #providencia #ñuñoa #musicoschile #musica #santiago #scl #guitarristas #rock #funk #jazz @Chilemusicos https://t.co/M6dSgeACch,1,2019-09-05 16:14:27,Jorge Gomez,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
69,Este próximo sábado en #soma la #musica de @paramore #guatemala #bares #nightlife #rock #indie #indierock #party #livemusic #dj #dance #beer #cerveza #craftbeer #centrohistorico #rockandroll #pub #industrial… https://t.co/zwUlXJeV5V,1,2019-09-05 16:13:59,Soma Zona 1,"{'type': 'Point', 'coordinates': [14.63854005, -90.51565618]}","{'type': 'Point', 'coordinates': [-90.51565618, 14.63854005]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
70,Este próximo viernes en #soma a bailar con Viva La New Wave y @nekosonik #musica #guatemala #bares #nightlife #rock #indie #indierock #party #livemusic #dj #dance #beer #cerveza #craftbeer #centrohistorico… https://t.co/GrJEXoDeCF,1,2019-09-05 16:11:11,Soma Zona 1,"{'type': 'Point', 'coordinates': [14.63854005, -90.51565618]}","{'type': 'Point', 'coordinates': [-90.51565618, 14.63854005]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
71,"Nuevo episodio del #podcast La Banda del Patio. Toca una historia de la antigua Alemania del Este. Guerra fría, muro de Berlín y claro #futbol y #rock 

https://t.co/rCSZHCzZDZ",0,2019-09-05 16:09:54,J. Asturiano,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
72,Compartimos a 64 #fotógrafas del #rock - 🤟📸 - https://t.co/gNimuqWH5J - Si conocen a alguien más por favor compártenos su trabajo. 💜,0,2019-09-05 16:07:11,mujeresvinileras,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
73,"...Guido Kerpel - guido.kerpel - AveTrueno - @avetruenomusica - Neuquén - Argentina...
.
.
.
#guitar #guitarrista #musico #music #neuquen #argentina #show #rock #alternativo #davidlescanofotografo #photographer… https://t.co/qhlaPIC5JU",0,2019-09-05 16:05:45,David Lescano,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
74,"Con José María Sagrista y Miguel Ángel Redondo de @_circulovicioso, El Pechuga, José María Pachón y #FernandoSegundo en la #presentación de #Riofest 2019. #Rockola con #FranHiniesta #Sevilla #Pop #Rock #RadioGuadalquivir #radio https://t.co/nRkCqxmkeR",0,2019-09-05 16:03:51,Fran Hiniesta,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
